match_id,tournament_year,stage,group_name,date,home_team,away_team,home_goals,away_goals,winner,is_draw,went_to_extra_time,went_to_penalties,home_penalties,away_penalties,stadium,city,host_country
M-2014-21,2014,group stage,Group C,2014-06-19,Colombia,Ivory Coast,2,1,Colombia,False,0,0,0,0,Estádio Nacional,Brasília,Brazil
M-2014-22,2014,group stage,Group D,2014-06-19,Uruguay,England,2,1,Uruguay,False,0,0,0,0,Arena Corinthians,São Paulo,Brazil
M-2014-23,2014,group stage,Group C,2014-06-19,Japan,Greece,0,0,Draw,True,0,0,0,0,Arena das Dunas,Natal,Brazil
M-2014-24,2014,group stage,Group D,2014-06-20,Italy,Costa Rica,0,1,Costa Rica,False,0,0,0,0,Arena Pernambuco,Recife,Brazil
M-2014-25,2014,group stage,Group E,2014-06-20,Switzerland,France,2,5,France,False,0,0,0,0,Arena Fonte Nova,Salvador,Brazil
M-2014-26,2014,group stage,Group E,2014-06-20,Honduras,Ecuador,1,2,Ecuador,False,0,0,0,0,Arena da Baixada,Curitiba,Brazil
M-2014-27,2014,group stage,Group F,2014-06-21,Argentina,Iran,1,0,Argentina,False,0,0,0,0,Estádio Mineirão,Belo Horizonte,Brazil
M-2014-28,2014,group stage,Group G,2014-06-21,Germany,Ghana,2,2,Draw,True,0,0,0,0,Estádio Castelão,Fortaleza,Brazil
M-2014-29,2014,group stage,Group F,2014-06-21,Nigeria,Bosnia and Herzegovina,1,0,Nigeria,False,0,0,0,0,Arena Pantanal,Cuiabá,Brazil
M-2014-30,2014,group stage,Group H,2014-06-22,Belgium,Russia,1,0,Belgium,False,0,0,0,0,Estádio do Maracanã,Rio de Janeiro,Brazil
M-2014-31,2014,group stage,Group H,2014-06-22,South Korea,Algeria,2,4,Algeria,False,0,0,0,0,Estádio Beira-Rio,Porto Alegre,Brazil
M-2014-32,2014,group stage,Group G,2014-06-22,United States,Portugal,2,2,Draw,True,0,0,0,0,Arena da Amazônia,Manaus,Brazil
M-2014-33,2014,group stage,Group B,2014-06-23,Australia,Spain,0,3,Spain,False,0,0,0,0,Arena da Baixada,Curitiba,Brazil
M-2014-34,2014,group stage,Group B,2014-06-23,Netherlands,Chile,2,0,Netherlands,False,0,0,0,0,Arena Corinthians,São Paulo,Brazil
M-2014-35,2014,group stage,Group A,2014-06-23,Cameroon,Brazil,1,4,Brazil,False,0,0,0,0,Estádio Nacional,Brasília,Brazil
M-2014-36,2014,group stage,Group A,2014-06-23,Croatia,Mexico,1,3,Mexico,False,0,0,0,0,Arena Pernambuco,Recife,Brazil
M-2014-37,2014,group stage,Group D,2014-06-24,Costa Rica,England,0,0,Draw,True,0,0,0,0,Estádio Mineirão,Belo Horizonte,Brazil
