team,team_zh,country_code,group,nationality,player_name,jersey_number,position,date_of_birth,age,height_cm,preferred_foot,market_value_eur_m,club,national_caps,national_goals,goal_rate,fifa_ranking,elo,data_source,source_url,squad_status
Mexico,墨西哥,MEX,Group A,墨西哥,Guillermo Martínez,22,Forward,"March 15, 1995",31,,N/A,,Pumas,12,3,0.25,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Jesús Gallardo,23,Defender,"August 15, 1994",31,,N/A,,Toluca,121,3,0.025,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Luis Chávez,24,Midfielder,"January 15, 1996",30,,N/A,,Dynamo Moscow,45,5,0.111,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Roberto Alvarado,25,Forward,"September 7, 1998",27,,N/A,,Guadalajara,67,5,0.075,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Brian Gutiérrez,26,Midfielder,"June 17, 2003",22,,N/A,,Guadalajara,7,2,0.286,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Ronwen Williams,1,Goalkeeper,"January 21, 1992",34,,N/A,,Mamelodi Sundowns,62,0,0.0,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Thabang Matuludi,2,Defender,"January 14, 1999",27,,N/A,,Polokwane City,2,0,0.0,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Khulumani Ndamane,3,Defender,"February 5, 2004",22,,N/A,,Mamelodi Sundowns,5,0,0.0,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Teboho Mokoena,4,Midfielder,"January 24, 1997",29,,N/A,,Mamelodi Sundowns,51,9,0.176,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Thalente Mbatha,5,Midfielder,"March 6, 2000",26,,N/A,,Orlando Pirates,14,3,0.214,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Aubrey Modiba,6,Defender,"July 22, 1995",30,,N/A,,Mamelodi Sundowns,44,3,0.068,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Oswin Appollis,7,Forward,"August 25, 2001",24,,N/A,,Orlando Pirates,25,8,0.32,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
